Date,Positive Sentiment Averaged,Negative Sentiment Averaged,Overall Sentiment Averaged,Positive Sentiment Summed,Negative Sentiment Summed,Overall Sentiment Summed,Positive Sentiment RMS,Negative Sentiment RMS,Overall Sentiment RMS,XRP_Change,XRP_High,XRP_Low,XRP_Open,XRP_Price,XRP_Vol,BTC_Change,BTC_High,BTC_Low,BTC_Open,BTC_Price,BTC_Vol,ETH_Change,ETH_High,ETH_Low,ETH_Open,ETH_Price,ETH_Vol,ten day percent change,thirty day percent change,binned price
2017-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.85,0.2813,0.2389,0.2405,0.2505,23300.0,3.99,4630.0,4417.6,4435.9,4613.1,29.86,-0.53,314.39,307.55,311.46,309.82,103.78,0.25879396984924635,0.15864939870490286,4
2017-10-09,0.3,-0.04545454545454546,0.2545454545454545,0.6,-0.09090909090909093,0.509090909090909,0.36055512754639896,-0.06428243465332252,0.29627269289307645,3.11,0.281,0.233,0.281,0.2583,33490.00000000001,3.67,4874.9,4551.3,4612.4,4782.3,48.93,-4.01,311.16,287.03,309.82,297.4,180.23,0.2364767831498323,0.20757363253856925,4
2017-10-10,0.3541666666666667,-0.007936507936507936,0.3462301587301587,0.7083333333333334,-0.015873015873015872,0.6924603174603174,0.35477888262346674,-0.01122391716169123,0.3435549654617755,1.55,0.2669,0.2405,0.2505,0.2623,13650.0,-0.11,4940.0,4717.5,4782.3,4777.0,42.68,0.65,307.0,292.57,297.4,299.32,104.64,0.2902115100836201,0.25262655205348605,4
2017-10-11,0.0882716049382716,-0.1876543209876543,-0.0993827160493827,0.0882716049382716,-0.1876543209876543,-0.0993827160493827,0.0882716049382716,-0.1876543209876543,-0.0993827160493827,-6.4,0.2658,0.256,0.2583,0.2455,6130.0,1.0,4879.5,4715.0,4777.7,4824.9,28.92,1.3,306.55,296.6,299.32,303.2,116.31,0.20935960591132996,0.23989898989898983,4
2017-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03,0.265,0.2455,0.2623,0.2603,20980.0,12.51,5437.6,4815.1,4824.9,5428.5,79.26,-0.05,310.01,302.1,303.2,303.06,185.68,0.2118249534450651,0.5240046838407492,4
2017-10-13,0.15005446623093682,-0.11574074074074076,0.03431372549019607,0.15005446623093682,-0.11574074074074076,0.03431372549019607,0.15005446623093682,-0.11574074074074076,0.03431372549019607,-1.81,0.27,0.2325,0.2455,0.2556,30590.0,3.84,5874.3,5376.0,5440.0,5636.8,99.15,11.35,350.0,298.0,303.06,337.46,383.16,0.07802614930409105,0.3876221498371335,4
2017-10-14,0.3125,0.0,0.3125,0.3125,0.0,0.3125,0.3125,-0.0,0.3125,4.07,0.2688,0.2544,0.2603,0.266,15540.0,3.52,5854.3,5567.3,5636.8,5835.0,36.81,0.53,348.0,334.05,337.46,339.24,151.02,0.1411411411411412,0.4615384615384617,4
2017-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.08,0.27,0.249,0.2556,0.2578,13940.0,-2.34,5876.9,5450.0,5838.7,5698.6,57.34,-0.59,344.89,315.0,339.24,337.23,250.08,0.07193347193347187,0.42273730684326694,4
2017-10-16,0.3011608623548922,-0.04136460554371002,0.2597962568111822,0.9034825870646765,-0.12409381663113006,0.7793887704335465,0.3162603777777862,-0.057564031452636714,0.2586963463251495,-10.86,0.3,0.2523,0.266,0.2298,49710.0,1.15,5803.2,5570.4,5712.2,5764.4,31.41,-0.82,355.0,330.85,337.23,334.46,270.07,-0.18220640569395025,0.18944099378881984,4
2017-10-17,0.2266666666666667,-0.04083333333333334,0.18583333333333338,0.2266666666666667,-0.04083333333333334,0.18583333333333338,0.2266666666666667,-0.04083333333333334,0.18583333333333338,-5.7,0.2665,0.2188,0.2578,0.2167,35850.0,-2.9,5779.0,5511.0,5764.8,5597.1,31.91,-5.62,334.8,308.0,334.46,315.65,191.86,-0.13493013972055887,0.17388949079089935,3
