Date,Positive Sentiment Averaged,Negative Sentiment Averaged,Overall Sentiment Averaged,Positive Sentiment Summed,Negative Sentiment Summed,Overall Sentiment Summed,Positive Sentiment RMS,Negative Sentiment RMS,Overall Sentiment RMS,XRP_Change,XRP_High,XRP_Low,XRP_Open,XRP_Price,XRP_Vol,BTC_Change,BTC_High,BTC_Low,BTC_Open,BTC_Price,BTC_Vol,ETH_Change,ETH_High,ETH_Low,ETH_Open,ETH_Price,ETH_Vol,RMS_box_filter,Summed_box_filter,Averaged_box_filter,ten day percent change,thirty day percent change,binned price
2017-08-26,0.2183794466403162,-0.11857707509881422,0.09980237154150197,0.2183794466403162,-0.11857707509881422,0.09980237154150197,0.2183794466403162,-0.11857707509881422,0.09980237154150197,-3.77,0.231,0.20600000000000002,0.2159,0.2016,16760.000000000004,-0.23,4364.0,4243.6,4351.5,4341.7,14.8,1.22,334.6,324.5,328.7,332.72,90.18,0.13459921401509423,0.15533287968070578,0.13050381985164594,0.2840764331210191,0.1830985915492958,3
2017-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.2103,0.1925,0.2095,0.2253,20640.0,-0.23,4405.7,4305.0,4340.2,4331.8,11.16,4.6,348.01,331.88,332.72,348.01,103.44,0.1056747600225861,0.1056747600225861,0.1056747600225861,0.4773770491803279,0.3221830985915493,4
2017-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.57,0.2461,0.1941,0.2016,0.2195,53160.0,1.2,4395.2,4175.7,4330.7,4383.8,21.22,-0.26,352.0,332.74,348.01,347.09,111.21,0.1056747600225861,0.1056747600225861,0.1056747600225861,0.37963544940289135,0.2881455399061033,3
2017-08-29,0.20967741935483872,-0.0931899641577061,0.11648745519713262,0.20967741935483872,-0.0931899641577061,0.11648745519713262,0.20967741935483872,-0.0931899641577061,0.11648745519713262,5.51,0.226,0.212,0.2253,0.2316,23630.0,4.64,4644.2,4336.7,4385.1,4587.1,32.7,7.18,375.98,346.42,347.09,372.0,180.48,0.04325796534772692,0.04325796534772692,0.04325796534772692,0.18769230769230766,0.3591549295774648,4
2017-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.74,0.2331,0.2167,0.2195,0.2588,15150.0,-0.39,4641.1,4481.1,4586.6,4569.0,17.07,2.9,390.1,365.1,372.0,382.78,188.64,0.04325796534772692,0.04325796534772692,0.04325796534772692,0.06942148760330571,0.5187793427230046,4
2017-08-31,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,-1.97,0.265,0.2272,0.2316,0.2537,28800.0,3.27,4749.9,4567.9,4567.9,4718.2,18.47,1.18,390.0,380.1,382.78,387.3,98.59,0.08996415770609319,0.08996415770609319,0.08996415770609319,0.0313008130081299,0.4530355097365405,4
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.9,0.26,0.2434,0.2588,0.2235,28620.0,3.96,4927.4,4660.7,4718.3,4904.9,28.71,0.79,395.03,383.6,387.3,390.35,131.8,0.08996415770609319,0.08996415770609319,0.08996415770609319,0.02947950253339483,0.28744239631336405,4
2017-09-02,0.13736263736263735,-0.02197802197802198,0.11538461538461536,0.13736263736263735,-0.02197802197802198,0.11538461538461536,0.13736263736263735,-0.02197802197802198,0.11538461538461536,2.91,0.2538,0.2135,0.2537,0.23,40900.0,-7.55,4969.0,4400.5,4911.8,4534.4,55.03,-11.62,390.77,325.1,390.35,345.0,308.36,0.11304108078301627,0.11304108078301627,0.11304108078301627,0.06530801296896711,0.25000000000000006,4
2017-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.96,0.2382,0.215,0.2235,0.2025,19110.0,1.34,4699.8,4331.0,4534.2,4595.0,33.56,1.63,368.4,328.33,345.0,350.63,212.17,0.08974358974358973,0.08974358974358973,0.08974358974358973,-0.03341288782816219,0.12312811980033293,3
2017-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17,0.2304,0.185,0.23,0.215,36810.0,-8.59,4606.0,4056.5,4599.2,4200.4,59.08,-15.63,351.59,275.0,350.63,295.81,569.73,0.08974358974358973,0.08974358974358973,0.08974358974358973,0.06646825396825394,0.20111731843575423,3
2017-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44,0.22,0.1881,0.2025,0.231,27240.0,4.15,4469.9,3900.1,4210.6,4374.9,57.73,6.89,323.17,267.64,295.81,316.18,381.67,0.02307692307692307,0.02307692307692307,0.02307692307692307,0.025299600532623215,0.17917304747320073,4
2017-09-06,0.0736842105263158,-0.18373205741626794,-0.11004784688995214,0.0736842105263158,-0.18373205741626794,-0.11004784688995214,0.0736842105263158,-0.18373205741626794,-0.11004784688995214,-1.95,0.2328,0.2139,0.215,0.2265,19740.0,4.9,4631.4,4361.4,4375.0,4589.1,39.0,6.7,339.5,314.81,316.18,337.36,230.11,0.0010673536989326438,0.0010673536989326438,0.0010673536989326438,0.031890660592255156,0.23500545256270447,4
2017-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.53,0.2317,0.2197,0.231,0.2117,12490.0,0.53,4672.8,4465.3,4594.6,4613.5,23.13,-0.97,338.66,321.1,337.36,334.1,166.57,-0.02200956937799043,-0.02200956937799043,-0.02200956937799043,-0.08592400690846287,0.17090707964601776,3
2017-09-08,0.24749092183457233,-0.08810294304057027,0.15938797879400207,0.9899636873382893,-0.3524117721622811,0.6375519151760083,0.2860142981865311,-0.123698758332335,0.1623155398541961,0.33,0.22899999999999998,0.1965,0.2265,0.2124,21630.0,-6.67,4686.2,4107.1,4613.5,4305.8,60.93,-9.01,334.58,291.0,334.1,304.0,309.62,0.010453538592848793,0.10550081365721123,0.009868026380809986,-0.1792890262751158,0.19661971830985925,3
2017-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.2144,0.2067,0.2117,0.2162,8700.0,0.28,4381.2,4159.4,4304.0,4317.9,31.11,-0.3,307.08,291.46,304.0,303.08,169.79,0.010453538592848793,0.10550081365721123,0.009868026380809986,-0.14781237682301923,0.2577079697498546,3
2017-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.06,0.22399999999999998,0.1975,0.2124,0.2139,16610.0,-1.99,4325.0,3975.8,4315.4,4232.1,45.87,-1.71,305.0,276.11,303.08,297.9,254.7,0.010453538592848793,0.10550081365721123,0.009868026380809986,-0.04295302013422818,0.2877784467188441,3
2017-09-11,0.18193813127983827,-0.08111508646619549,0.10082304481364278,0.5458143938395148,-0.24334525939858648,0.3024691344409283,0.21225371246756028,-0.1332814741291676,0.07897223833839268,-2.1,0.2215,0.2086,0.2162,0.2094,15090.0,-0.69,4373.1,4123.0,4234.9,4203.0,30.9,-0.24,308.0,287.33,297.9,297.19,174.01,0.04825755563851776,0.18800420992338732,0.05204220472152897,-0.08956521739130438,0.2486583184257604,3
2017-09-12,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,-0.0,0.16666666666666666,-5.44,0.2245,0.2052,0.2139,0.198,17510.0,-1.43,4378.4,4055.5,4198.9,4142.9,40.04,-1.11,316.73,283.0,297.19,293.9,261.52,0.0815908889718511,0.22133754325672067,0.0853755380548623,-0.02222222222222224,0.2531645569620254,3
2017-09-13,0.034883720930232565,-0.313953488372093,-0.27906976744186046,0.034883720930232565,-0.313953488372093,-0.27906976744186046,0.034883720930232565,-0.313953488372093,-0.27906976744186046,-13.74,0.2099,0.1902,0.2094,0.1708,14950.0,-7.08,4159.6,3734.0,4149.4,3849.7,71.51,-6.27,294.16,256.0,293.9,275.48,449.34,-0.006686172487360226,0.038013206733146905,-0.002316011192310205,-0.20558139534883715,0.062189054726368216,3
2017-09-14,0.17391304347826084,0.0,0.17391304347826084,0.17391304347826084,0.0,0.17391304347826084,0.17391304347826084,-0.0,0.17391304347826084,7.85,0.2,0.166,0.198,0.1842,30050.0,-15.89,3917.2,3206.2,3850.2,3238.1,127.51,-19.23,281.01,221.71,275.48,222.5,642.98,0.02809643620829194,0.07279581542879907,0.032466597503341965,-0.20259740259740264,0.16582278481012658,3
2017-09-15,0.14,-0.13,0.010000000000000009,0.14,-0.13,0.010000000000000009,0.14,-0.13,0.010000000000000009,-1.19,0.1924,0.1455,0.1708,0.182,42230.0,14.2,3809.0,2981.0,3237.4,3698.0,183.11,16.26,269.0,198.0,222.5,258.68,954.56,0.030096436208291943,0.07479581542879907,0.03446659750334197,-0.19646799116997798,0.15923566878980888,3
2017-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,0.1919,0.1729,0.1842,0.1812,15120.0,-0.34,3874.0,3511.1,3697.1,3685.4,70.74,-2.2,270.0,242.2,258.68,253.0,308.48,0.014301988540613408,0.014301988540613408,0.014301988540613408,-0.14407179971658007,0.18819672131147544,3
2017-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,0.184,0.1711,0.182,0.1932,7170.0,-0.52,3775.9,3476.3,3680.1,3666.3,37.05,1.58,263.69,239.0,253.0,257.0,195.92,-0.019031344792719923,-0.019031344792719923,-0.019031344792719923,-0.09039548022598867,0.21433060967944703,3
2017-09-18,0.03252032520325203,-0.3224932249322493,-0.28997289972899726,0.03252032520325203,-0.3224932249322493,-0.28997289972899726,0.03252032520325203,-0.3224932249322493,-0.28997289972899726,-4.45,0.1943,0.1808,0.1812,0.1846,17220.0,11.4,4113.9,3667.0,3667.0,4084.1,58.98,15.49,299.89,257.0,257.0,296.81,378.67,-0.02121197125014728,-0.02121197125014728,-0.02121197125014728,-0.14616096207215548,-0.053333333333333434,3
2017-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.63,0.1943,0.182,0.1932,0.1816,9350.0,-4.51,4110.0,3836.2,4084.4,3900.0,47.77,-4.78,299.0,275.0,296.81,282.63,268.88,-0.05599457994579945,-0.05599457994579945,-0.05599457994579945,-0.1510051425899953,-0.24958677685950406,3
2017-09-20,0.04,-0.30000000000000004,-0.26000000000000006,0.04,-0.30000000000000004,-0.26000000000000006,0.04,-0.30000000000000004,-0.26000000000000006,-5.84,0.1884,0.1805,0.1846,0.171,5380.0,-0.69,4048.0,3834.1,3892.2,3873.2,33.21,0.31,294.0,277.0,282.63,283.5,146.38,-0.10999457994579946,-0.10999457994579946,-0.10999457994579946,-0.18338108882521484,-0.3048780487804878,3
2017-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.1835,0.1686,0.1816,0.1729,7180.0,-6.97,3903.7,3564.4,3875.5,3603.4,56.98,-9.46,287.53,251.52,283.5,256.67,292.98,-0.10999457994579946,-0.10999457994579946,-0.10999457994579946,-0.1267676767676768,-0.20359281437125745,3
